Name,Type,Breed,Breed_Corrected,Color,Color_Corrected,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count,Zip Codes
,OTHER,CHICKEN,CHICKEN,BROWN,BROWN,Female,SMALL,,K23-046471,LS01,A421259,10/15/2023,11/18/2023,34,CONFISCATE,FLD_ABAND,ADOPTION,REFERRAL-O,UNKNOWN,PENDING,COUNTY,COUNTY,95403,"95403(38.4716444, -122.7398255)",0,26076
CUPCAKE,DOG,MALTESE/POODLE TOY,MALTESE,WHITE,WHITE,Spayed,TOY,10/6/2014,K23-045263,DA04,A328255,7/5/2023,8/8/2023,34,STRAY,FIELD,ADOPTION,SCAS WEB,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95441,"95441(38.70854, -122.90737)",1,23750
*DEEDEE,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY/TORTIE,BRN TABBY,Spayed,KITTN,7/20/2023,K23-046144,LOBBY,A420501,10/17/2023,11/18/2023,32,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
*MINDY,CAT,DOMESTIC MH,DOMESTIC MH,BRN TABBY,BRN TABBY,Spayed,SMALL,8/9/2023,K23-045723,LOBBY,A419695,8/16/2023,11/18/2023,94,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
*STING,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY,BRN TABBY,Neutered,KITTN,7/29/2023,K23-045841,WESTFARM,A420014,8/29/2023,11/17/2023,80,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1,26077
,OTHER,CHICKEN,CHICKEN,BROWN/RED,BROWN,Male,SMALL,,K23-046470,LS01,A421258,10/15/2023,11/18/2023,34,CONFISCATE,FLD_ABAND,ADOPTION,REFERRAL-O,UNKNOWN,PENDING,COUNTY,COUNTY,95403,"95403(38.4716444, -122.7398255)",0,26076
*TESS,CAT,DOMESTIC SH,DOMESTIC SH,ORG TABBY/WHITE,ORG TABBY,Spayed,KITTN,5/7/2023,K23-044867,LOBBY,A417889,5/30/2023,8/8/2023,70,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1,26077
SANDY,DOG,POODLE MIN,POODLE MIN,WHITE,WHITE,Neutered,SMALL,,K23-044482,RECEIVING,A416957,4/25/2023,7/19/2023,85,STRAY,FIELD,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1,26076
*MISTY,CAT,DOMESTIC MH,DOMESTIC MH,BRN TABBY,BRN TABBY,Spayed,SMALL,8/9/2023,K23-045724,LOBBY,A419696,8/16/2023,11/18/2023,94,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*DAKOTA,DOG,SIBERIAN HUSKY/MIX,SIBERIAN HUSKY,WHITE,WHITE,Neutered,LARGE,5/10/2020,K22-041041,DA39,A410831,4/5/2022,7/5/2022,91,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1,26076
*THELMA,DOG,BORDER COLLIE/MIX,BORDER COLLIE,BLACK/WHITE,BLACK,Spayed,PUPPY,5/16/2023,K23-046551,DA33,A421437,10/23/2023,11/18/2023,26,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1,26080
